Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
10/23/2024 20:20:00,Winona Ride Her (F24),5,Twerkoise (F24),0,,,8
10/23/2024 20:40:00,Gay Sharks (F24),2,Washington Formanders (F24),2,,,6
10/23/2024 20:40:00,Vikinks (F24),0,Cuntolina Panthers (F24),3,,,6
10/23/2024 21:00:00,Edgar Allen Hoes (F24),2,Washington Formanders (F24),3,,,6
10/23/2024 21:00:00,Gay Sharks (F24),3,Mean Gay Packers (F24),3,,,6
10/23/2024 21:20:00,Edgar Allen Hoes (F24),3,Vikinks (F24),3,,,6
10/23/2024 21:20:00,Mean Gay Packers (F24),2,Cuntolina Panthers (F24),2,,,6
11/13/2024 18:40:00,Lime and Punishment (F24),0,Winona Ride Her (F24),6,,,8
11/13/2024 18:40:00,Urine Trouble (F24),1,Twerkoise (F24),4,,,8
11/13/2024 19:00:00,Froggays (F24),2,Queermint (F24),4,,,8
11/13/2024 19:00:00,Naughty Hotties (F24),2,Wet Dreams (F24),1,,,8
11/13/2024 19:20:00,Cardinal Sinners (F24),3,Violetly Gay (F24),1,,,8
11/13/2024 19:20:00,Clementops (F24),2,The Blue Ballers (F24),2,,,8
11/13/2024 19:40:00,Urine Trouble (F24),0,Winona Ride Her (F24),4,,,8
11/13/2024 19:40:00,Wet Dreams (F24),4,Lime and Punishment (F24),1,,,8
11/13/2024 20:00:00,Twerkoise (F24),2,Froggays (F24),3,,,8
11/13/2024 20:00:00,Violetly Gay (F24),3,Naughty Hotties (F24),1,,,8
11/13/2024 20:20:00,Cardinal Sinners (F24),3,Clementops (F24),0,,,8
11/13/2024 20:20:00,Queermint (F24),3,The Blue Ballers (F24),2,,,8
